Fecha,Hora,Precio marginal local ($/MWh)
01/08/2017,8,1404.16
01/08/2017,9,1352.16
01/08/2017,10,1484.27
01/08/2017,11,1298.94
01/08/2017,12,1340.19
01/08/2017,13,1584.75
01/08/2017,14,1699.14
01/08/2017,15,1697.33
01/08/2017,16,1719.61
01/08/2017,17,1708.09
01/08/2017,18,1697.98
01/08/2017,19,1387.49
01/08/2017,20,1342.07
01/08/2017,21,1427.7
01/08/2017,22,1709.94
01/08/2017,23,1709.95
01/08/2017,24,1457.48
02/08/2017,1,1503.05
02/08/2017,2,1309.63
02/08/2017,3,913.65
02/08/2017,4,889.26
02/08/2017,5,872.47
02/08/2017,6,893.6
02/08/2017,7,958.93
02/08/2017,8,1413.16
02/08/2017,9,1468.08
02/08/2017,10,1506.63
02/08/2017,11,1666.65
02/08/2017,12,1657.36
02/08/2017,13,1664.03
02/08/2017,14,1659.61
02/08/2017,15,1652.8
02/08/2017,16,1753.07
02/08/2017,17,1740.32
02/08/2017,18,1669.65
02/08/2017,19,1588.46
02/08/2017,20,1425.57
02/08/2017,21,1488.41
02/08/2017,22,1721.04
02/08/2017,23,1714.16
02/08/2017,24,1424.32
03/08/2017,1,1459.9
03/08/2017,2,1441.53
03/08/2017,3,1402.26
03/08/2017,4,1194.89
03/08/2017,5,1007.75
03/08/2017,6,1312.51
03/08/2017,7,1381.65
03/08/2017,8,1456.15
03/08/2017,9,1442.45
03/08/2017,10,1582.93
03/08/2017,11,1800.2
03/08/2017,12,1751.96
03/08/2017,13,1932.89
03/08/2017,14,2260.84
03/08/2017,15,2076.02
03/08/2017,16,1641.53
03/08/2017,17,2083.49
03/08/2017,18,1547.9
03/08/2017,19,1528.81
03/08/2017,20,1370.89
03/08/2017,21,1427.58
03/08/2017,22,1084.31
03/08/2017,23,1364.99
03/08/2017,24,1316.5
04/08/2017,1,1528.21
04/08/2017,2,1487.4
04/08/2017,3,1425.96
04/08/2017,4,1325.49
04/08/2017,5,1164.28
04/08/2017,6,1174.49
04/08/2017,7,1366.39
04/08/2017,8,1476.05
04/08/2017,9,1566.22
04/08/2017,10,1742.73
04/08/2017,11,1832.54
04/08/2017,12,1776.6
04/08/2017,13,1771.62
04/08/2017,14,1772.63
04/08/2017,15,1770.9
04/08/2017,16,1764.98
04/08/2017,17,1849.89
04/08/2017,18,1764.37
04/08/2017,19,1578.78
04/08/2017,20,1438.72
04/08/2017,21,1664.95
04/08/2017,22,1656.34
04/08/2017,23,1684.06
04/08/2017,24,1511.25
05/08/2017,1,1764.8
05/08/2017,2,1654.66
05/08/2017,3,1579.51
05/08/2017,4,1445.87
05/08/2017,5,971.9
05/08/2017,6,1197.02
05/08/2017,7,1260.53
05/08/2017,8,1374.1
05/08/2017,9,1458.37
05/08/2017,10,1648.36
05/08/2017,11,1656.46
05/08/2017,12,1673.43
05/08/2017,13,1684.6
05/08/2017,14,1666.87
05/08/2017,15,1660
05/08/2017,16,1653.52
05/08/2017,17,1665.96
05/08/2017,18,1655.94
05/08/2017,19,1676.63
05/08/2017,20,1499.69
05/08/2017,21,1563.68
05/08/2017,22,1694.91
05/08/2017,23,1648.25
05/08/2017,24,1362.61
06/08/2017,1,1308.65
06/08/2017,2,1291.91
06/08/2017,3,1287.15
06/08/2017,4,999.73
06/08/2017,5,892.93
06/08/2017,6,754.26
06/08/2017,7,759.08
06/08/2017,8,756.04
06/08/2017,9,768.68
06/08/2017,10,776.69
06/08/2017,11,840.85
06/08/2017,12,873.91
06/08/2017,13,894.43
06/08/2017,14,944.69
06/08/2017,15,947.19
06/08/2017,16,1053.88
06/08/2017,17,1306.71
06/08/2017,18,1378.66
06/08/2017,19,1363.33
06/08/2017,20,1431.01
06/08/2017,21,1443.51
06/08/2017,22,1634.16
06/08/2017,23,1624.82
06/08/2017,24,1520.37
07/08/2017,1,1398.61
07/08/2017,2,1393.92
07/08/2017,3,1235.35
07/08/2017,4,935.8
07/08/2017,5,877.07
07/08/2017,6,933.71
07/08/2017,7,978.63
07/08/2017,8,1388.68
07/08/2017,9,1405.82
07/08/2017,10,1473.26
07/08/2017,11,1593.8
07/08/2017,12,1810.74
07/08/2017,13,1805.61
07/08/2017,14,1821.28
07/08/2017,15,1805.8
07/08/2017,16,1799.98
07/08/2017,17,1811.79
07/08/2017,18,1814.27
07/08/2017,19,1597.04
07/08/2017,20,1392.29
07/08/2017,21,1392.17
07/08/2017,22,1885.49
07/08/2017,23,1822.32
07/08/2017,24,1410.34
08/08/2017,1,1881.26
08/08/2017,2,1587.3
08/08/2017,3,1424.04
08/08/2017,4,1418.16
08/08/2017,5,1348.98
08/08/2017,6,1198.58
08/08/2017,7,1141.47
08/08/2017,8,1487.39
08/08/2017,9,1447.64
08/08/2017,10,1528.71
08/08/2017,11,2306.93
08/08/2017,12,2410.99
08/08/2017,13,2544.37
08/08/2017,14,2454.82
08/08/2017,15,2473.62
08/08/2017,16,2615.19
08/08/2017,17,2634.79
08/08/2017,18,2460.31
08/08/2017,19,1408.75
08/08/2017,20,1405.68
08/08/2017,21,1465.58
08/08/2017,22,2438.32
08/08/2017,23,2442.55
08/08/2017,24,1499.69
09/08/2017,1,1579.2
09/08/2017,2,1464.31
09/08/2017,3,1467.05
09/08/2017,4,1407.99
09/08/2017,5,1346.25
09/08/2017,6,1434.72
09/08/2017,7,1490.15
09/08/2017,8,1607.04
09/08/2017,9,1520.98
09/08/2017,10,1724.75
09/08/2017,11,1846.65
09/08/2017,12,1931.71
09/08/2017,13,1911.1
09/08/2017,14,1981.41
09/08/2017,15,1937.28
09/08/2017,16,1939.06
09/08/2017,17,1944.96
09/08/2017,18,1860.99
09/08/2017,19,1764.64
09/08/2017,20,1551.43
09/08/2017,21,1605.1
09/08/2017,22,1870.42
09/08/2017,23,1705.28
09/08/2017,24,1603.44
10/08/2017,1,1439.5
10/08/2017,2,1347.09
10/08/2017,3,1405.86
10/08/2017,4,1210.62
10/08/2017,5,1191.03
10/08/2017,6,1315.87
10/08/2017,7,1495.15
10/08/2017,8,1545.83
10/08/2017,9,1563.43
10/08/2017,10,1586.59
10/08/2017,11,1775.65
10/08/2017,12,1967.26
10/08/2017,13,2046.36
10/08/2017,14,1971.18
10/08/2017,15,2136.19
10/08/2017,16,2085.05
10/08/2017,17,2254.1
10/08/2017,18,1597.48
10/08/2017,19,1536.51
10/08/2017,20,1479.74
10/08/2017,21,1562.12
10/08/2017,22,1917.21
10/08/2017,23,1904.4
10/08/2017,24,1508.01
11/08/2017,1,1457.17
11/08/2017,2,1412.57
11/08/2017,3,1243.76
11/08/2017,4,1259.1
11/08/2017,5,1255.48
11/08/2017,6,1292.98
11/08/2017,7,1365.84
11/08/2017,8,1428.97
11/08/2017,9,1454.83
11/08/2017,10,1499.29
11/08/2017,11,1547.49
11/08/2017,12,1692.38
11/08/2017,13,1734.68
11/08/2017,14,1614.51
11/08/2017,15,1559.4
11/08/2017,16,1587.05
11/08/2017,17,1734.09
11/08/2017,18,1686.81
11/08/2017,19,1545.56
11/08/2017,20,1421.96
11/08/2017,21,1268.86
11/08/2017,22,1513.35
11/08/2017,23,1511.73
11/08/2017,24,1361.09
12/08/2017,1,1422.04
12/08/2017,2,1363.67
12/08/2017,3,1343.24
12/08/2017,4,1018.76
12/08/2017,5,951.7
12/08/2017,6,952.58
12/08/2017,7,950.59
12/08/2017,8,935.29
12/08/2017,9,958.66
12/08/2017,10,1331.1
12/08/2017,11,1388.91
12/08/2017,12,1509.27
12/08/2017,13,1526.14
12/08/2017,14,1522.93
12/08/2017,15,1510.25
12/08/2017,16,1505.33
12/08/2017,17,1510.85
12/08/2017,18,1489.45
