h,Tilt angle β,δ (declinación),cos(θ) formula 1,cos(θ) formula 2,A,Latitude φ,cos(δ),sin(δ),cos(β),sin(β),cos(ω),sin(ω),cos(y),sin(y),cos(φ),sin(φ)
280,0,-6.571409333,0.107994346,0.895435244,0,19.32361,0.993429996,-0.114441442,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
281,0,-6.957915612,0.114315798,0.892472073,0,19.32361,0.992635398,-0.121140274,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
282,0,-7.34236011,0.120598368,0.88948442,0,19.32361,0.99180023,-0.127797905,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
283,0,-7.724628908,0.12684,0.886473968,0,19.32361,0.990925513,-0.134412153,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
284,0,-8.104608732,0.133038664,0.883442436,0,19.32361,0.990012321,-0.140980867,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
285,0,-8.482186986,0.139192354,0.880391576,0,19.32361,0.989061769,-0.147501923,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
286,0,-8.857251784,0.145299097,0.877323171,0,19.32361,0.98807502,-0.153973229,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
287,0,-9.229691988,0.151356947,0.874239038,0,19.32361,0.987053278,-0.160392723,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
288,0,-9.599397234,0.157363987,0.871141018,0,19.32361,0.985997791,-0.166758374,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
289,0,-9.966257972,0.163318333,0.86803098,0,19.32361,0.984909845,-0.173068185,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
290,0,-10.33016549,0.169218132,0.86491082,0,19.32361,0.983790765,-0.179320193,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
291,0,-10.69101196,0.175061565,0.861782454,0,19.32361,0.98264191,-0.18551247,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
292,0,-11.04869045,0.180846844,0.858647819,0,19.32361,0.981464678,-0.191643122,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
